Wall time,Step,Value
1712811331.4543235,1326,0.07742775976657867
1712811351.2955081,1330,0.02783101238310337
1712811370.3610563,1334,0.5381210446357727
1712811393.585009,1339,0.2823386788368225
1712811416.7019417,1344,0.11765005439519882
1712811426.3489435,1346,0.07719597965478897
1712811440.9782755,1349,0.12072593718767166
1712811445.662731,1350,0.09917885065078735
1712811455.262825,1352,0.48284533619880676
1712811488.2051442,1359,0.013180463574826717
1712811531.1734886,1368,0.2828395366668701
1712811536.1604357,1369,0.30288267135620117
1712811545.4924598,1371,0.09872579574584961
1712811550.6328313,1372,0.24677075445652008
1712811564.9420784,1375,0.08856736868619919
1712811569.6180165,1376,0.2578037679195404
1712811579.4345133,1378,0.07023350149393082
1712811598.3756564,1382,0.3457072973251343
1712811607.8355458,1384,0.1678960770368576
1712811627.1378875,1388,0.31059786677360535
1712811631.7884595,1389,0.13709920644760132
1712811636.520821,1390,0.32432839274406433
1712811641.1730921,1391,0.011964153498411179
1712811645.832202,1392,0.15257814526557922
1712811665.3283854,1396,0.11016910523176193
1712811679.3659527,1399,0.260436475276947
1712811684.400846,1400,0.08412200212478638
1712811703.665646,1404,0.2611128091812134
1712811727.933464,1409,0.15812532603740692
1712811733.0600684,1410,0.05305465683341026
1712811751.2893517,1414,0.08650868386030197
1712811765.8024633,1417,0.025394747033715248
1712811785.7982187,1421,0.4342348873615265
1712811875.55092,1440,0.2206016331911087
1712811880.581884,1441,0.15851159393787384
1712811900.1642096,1445,0.40391913056373596
1712811948.2382026,1455,0.1383630782365799
1712811952.8545375,1456,0.01524412352591753
1712811971.8925195,1460,0.3973977267742157
1712811981.2208395,1462,0.3052281439304352
1712811985.3827674,1463,0.057387128472328186
1712811990.513273,1464,0.27969446778297424
1712811995.3189363,1465,0.3146694600582123
1712812009.7376118,1468,0.12421812862157822
1712812023.8254054,1471,0.06711313873529434
1712812033.1921735,1473,0.09484934061765671
1712812042.8774314,1475,0.07660102099180222
1712812047.5773628,1476,0.05900206044316292
1712812056.883663,1478,0.061162933707237244
1712812061.5907412,1479,0.12836511433124542
1712812071.3829818,1481,0.2696290910243988
1712812076.074497,1482,0.061357300728559494
1712812080.9986782,1483,0.02202855609357357
1712812086.0619175,1484,0.32811975479125977
1712812090.7265966,1485,0.14838631451129913
1712812100.0918286,1487,0.14420504868030548
1712812134.1425297,1494,0.3376624882221222
1712812148.5435143,1497,0.32875144481658936
1712812153.1927752,1498,0.11796245723962784
1712812162.5300765,1500,0.4019422233104706
1712812196.231131,1507,0.09507439285516739
1712812215.2486618,1511,0.17380578815937042
1712812225.367496,1513,0.5186211466789246
1712812230.4899914,1514,0.0907764658331871
1712812244.8775516,1517,0.3692639172077179
1712812249.5750465,1518,0.13123808801174164
1712812268.0253742,1522,0.11902324110269547
1712812272.6921422,1523,0.08658217638731003
1712812277.3970797,1524,0.042557671666145325
1712812286.7471902,1526,0.056751806288957596
1712812320.1777077,1533,0.06310439109802246
1712812325.312842,1534,0.05973044037818909
1712812330.3940275,1535,0.026544293388724327
1712812339.7284074,1537,0.1003430187702179
1712812349.0706618,1539,0.0420382134616375
1712812353.745267,1540,0.4809422194957733
1712812388.0718338,1547,0.03339498117566109
1712812412.8468816,1552,0.06174551323056221
1712812442.0339787,1558,0.006057407706975937
1712812456.065297,1561,0.01657055877149105
1712812460.7609663,1562,0.16054604947566986
1712812475.3840933,1565,0.3066287338733673
1712812508.9330566,1572,0.07631054520606995
1712812523.0429354,1575,0.40324750542640686
1712812528.162976,1576,0.028797520324587822
1712812532.8831785,1577,0.07559311389923096
1712812576.807822,1586,0.29429152607917786
1712812590.8696241,1589,0.2976526916027069
1712812595.616482,1590,0.0693545714020729
1712812605.5074594,1592,0.043929655104875565
1712812615.3489618,1594,0.2983338534832001
1712812620.0314348,1595,0.04243892803788185
1712812624.7789924,1596,0.17989717423915863
1712812629.4496386,1597,0.19485308229923248
1712812643.544132,1600,0.5685192346572876
1712812653.4023921,1602,0.018160754814743996
1712812662.7819633,1604,0.14022183418273926
1712812667.88609,1605,0.1815495491027832
1712812672.5392816,1606,0.03860625624656677
1712812686.3748288,1609,0.5742228031158447
1712812710.0377223,1614,0.4667221009731293
1712812734.2606351,1619,0.10066438466310501
1712812739.3408866,1620,0.11170899868011475
1712812744.0618923,1621,0.22695191204547882
1712812762.092622,1625,0.024788619950413704
1712812766.8262718,1626,0.022339055314660072
1712812771.5259438,1627,0.04777112603187561
1712812809.575208,1635,0.09266377240419388
